League,Start Time,Game,Pick Desc,Type,Period,Odds,Odds/Spread/Total,Result,Units Wagered,Units Net,Money Wagered,Money Net,
nfl,2024-12-22T18:00:00.000Z,DET @ CHI,,custom,game,-110,38.5,loss,1,-1,10,-10,
nfl,2024-12-22T18:00:00.000Z,ARI @ CAR,ARI -4.5 -105,spread_away,game,-105,-4.5,loss,2,-2,20,-20,
nfl,2024-12-22T18:00:00.000Z,DET @ CHI,,custom,game,-115,37.5,win,1,0.8696,10,8.6957,
nfl,2024-12-22T18:00:00.000Z,PHI @ WAS,,custom,game,-120,56.5,win,1,0.8333,10,8.3333,
nfl,2024-12-22T18:00:00.000Z,CLE @ CIN,,custom,game,-112,60.5,loss,1.5,-1.5,15,-15,
nfl,2024-12-22T18:00:00.000Z,CLE @ CIN,,custom,game,-110,6.5,push,1.5,0,15,0,
nfl,2024-12-22T21:05:00.000Z,MIN @ SEA,,custom,game,-117,82.5,win,1,0.8547,10,8.547,
nfl,2024-12-22T21:05:00.000Z,MIN @ SEA,,custom,game,-115,67.5,win,1,0.8696,10,8.6957,
nfl,2024-12-22T21:05:00.000Z,MIN @ SEA,,custom,game,-165,2.5,win,1.5,0.9091,15,9.0909,
nfl,2024-12-22T21:05:00.000Z,MIN @ SEA,,custom,game,-105,34.5,loss,1,-1,10,-10,
nfl,2024-12-22T21:25:00.000Z,NE @ BUF,,custom,game,-115,28.5,loss,1,-1,10,-10,
nba,2024-12-22T23:00:00.000Z,IND @ SAC,SAC -150,ml_home,game,-150,-150,loss,1.8,-1.8,18,-18,
nba,2024-12-22T23:00:00.000Z,HOU @ TOR,,custom,game,-120,14.5,win,1,0.8333,10,8.3333,
nba,2024-12-23T00:00:00.000Z,DEN @ NOP,,custom,game,-114,18.5,loss,1,-1,10,-10,
nfl,2024-12-23T01:20:00.000Z,TB @ DAL,TB @ DAL: o48 -110,over,game,-110,48,win,2.2,2,22,20,
nfl,2024-12-23T01:20:00.000Z,TB @ DAL,,custom,game,147,132,loss,1.224,-1.224,12.24,-12.24,
nfl,2024-12-23T01:20:00.000Z,TB @ DAL,,custom,game,-110,17.5,loss,1,-1,10,-10,
nfl,2024-12-23T01:20:00.000Z,TB @ DAL,,custom,game,-114,2.5,win,1,0.8772,10,8.7719,
nfl,2024-12-23T01:20:00.000Z,TB @ DAL,,custom,game,-115,65.5,win,1,0.8696,10,8.6957,
nfl,2024-12-23T01:20:00.000Z,TB @ DAL,,custom,game,100,100,win,2.2,2.2,22,22,
ncaaf,2024-12-23T16:00:00.000Z,CC @ UTSA,UTSA -8.5 -110,spread_home,game,-110,-8.5,win,1.65,1.5,16.5,15,
seriea,2024-12-23T19:45:00.000Z,COM @ INT,INT -1.5 -150,spread_home,game,-150,-1.5,win,1.5,1,15,10,
seriea,2024-12-23T19:45:00.000Z,COM @ INT,,custom,game,-115,2.5,loss,1.15,-1.15,11.5,-11.5,
seriea,2024-12-23T19:45:00.000Z,COM @ INT,COM @ INT: o3.25 -110,over,game,-110,3.25,loss,1.1,-1.1,11,-11,
ncaab,2024-12-24T00:00:00.000Z,MTU @ TENN,(Live) TENN -10.5 -110,spread_home,game,-110,-10.5,win,1.8,1.6364,18,16.3636,
nba,2024-12-24T00:00:00.000Z,SAS @ PHI,,custom,game,-130,2.5,loss,1,-1,10,-10,
nba,2024-12-24T01:00:00.000Z,LAC @ MEM,,custom,game,-109,21.5,win,1.1,1.0092,11,10.0917,
ncaab,2024-12-24T01:00:00.000Z,CSB @ NDSU,NDSU -9 -110,spread_home,game,-110,-9,win,3.3,3,33,30,
nfl,2024-12-24T01:15:00.000Z,NO @ GB,,custom,game,-112,32.5,push,1,0,10,0,
nfl,2024-12-24T01:15:00.000Z,NO @ GB,,custom,game,-150,29.5,win,1,0.6667,10,6.6667,
nfl,2024-12-24T01:15:00.000Z,NO @ GB,,custom,game,-122,15.5,win,1,0.8197,10,8.1967,
nba,2024-12-24T03:00:00.000Z,IND @ GSW,,custom,game,-137,16.5,loss,1.5,-1.5,15,-15,
ncaab,2024-12-24T03:00:00.000Z,SEA @ WASH,(Live) WASH +9.5 -125,spread_home,game,-125,9.5,win,1,0.8,10,8,
nba,2024-12-24T03:00:00.000Z,PHX @ DEN,,custom,game,-115,22.5,win,1,0.8696,10,8.6957,
ncaaf,2024-12-25T01:00:00.000Z,USF @ SJSU,USF @ SJSU: u65 -120,under,game,-120,65,loss,1.8,-1.8,18,-18,
ncaaf,2024-12-25T01:00:00.000Z,USF @ SJSU,USF -101,ml_away,game,-101,-101,win,1.01,1,10.1,10,
ncaaf,2024-12-25T01:00:00.000Z,USF @ SJSU,(Live) USF +110,ml_away,game,110,110,win,0.5,0.55,5,5.5,
nba,2024-12-25T17:00:00.000Z,SAS @ NYK,,custom,game,-105,2.5,win,1,0.9524,10,9.5238,
nba,2024-12-25T17:00:00.000Z,SAS @ NYK,NYK -9 -110,spread_home,game,-110,-9,loss,1.65,-1.65,16.5,-16.5,
nfl,2024-12-25T18:00:00.000Z,KC @ PIT,,custom,game,850,-110,loss,0.5,-0.5,5,-5,
nfl,2024-12-25T18:00:00.000Z,KC @ PIT,,custom,game,100,6.5,win,1,1,10,10,
nfl,2024-12-25T18:00:00.000Z,KC @ PIT,,custom,game,-114,7.5,loss,1,-1,10,-10,
nfl,2024-12-25T18:00:00.000Z,KC @ PIT,,custom,game,-120,35.5,loss,1,-1,10,-10,
nba,2024-12-25T19:30:00.000Z,MIN @ DAL,DAL -2.5 -107,spread_home,game,-107,-2.5,loss,1.605,-1.605,16.05,-16.05,
nfl,2024-12-25T21:30:00.000Z,BAL @ HOU,,custom,game,-114,56.5,loss,1,-1,10,-10,
nfl,2024-12-25T21:30:00.000Z,BAL @ HOU,BAL @ HOU: u47 -110,under,game,-110,47,win,1.1,1,11,10,
nfl,2024-12-25T21:30:00.000Z,BAL @ HOU,,custom,game,160,135,loss,0.8,-0.8,8,-8,
nfl,2024-12-25T21:30:00.000Z,BAL @ HOU,BAL -5 -140,spread_away,game,-140,-5,win,2.1,1.5,21,15,
nfl,2024-12-25T21:30:00.000Z,BAL @ HOU,,custom,game,-120,76.5,loss,1,-1,10,-10,
nfl,2024-12-25T21:30:00.000Z,BAL @ HOU,BAL -6 -110,spread_away,game,-110,-6,win,1.1,1,11,10,
nba,2024-12-25T22:00:00.000Z,PHI @ BOS,,custom,game,-110,14.5,loss,1.5,-1.5,15,-15,
ncaab,2024-12-25T23:30:00.000Z,OAK @ HAW,HAW -3.5 -138,spread_home,game,-138,-3.5,loss,1.38,-1.38,13.8,-13.8,
nba,2024-12-26T01:00:00.000Z,LAL @ GSW,,custom,game,-115,11.5,win,1.5,1.3043,15,13.0435,
nba,2024-12-26T01:00:00.000Z,LAL @ GSW,GSW -105,ml_home,game,-105,-105,loss,2.1,-2.1,21,-21,
